Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
energy-y1,H2O-ERT,0,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.06493506493506493,0.11904761904761905,0.4404761904761905,0.04065040650406504,0.08028446066773594,0.6163603973795123,0.3090785713866353,0.7960175333375281
energy-y1,H2O-ERT,1,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.05194805194805195,0.09523809523809523,0.4523809523809524,0.03333333333333333,0.07587621136982346,0.5996811069522306,0.7434135959483683,0.8040201281765839
energy-y1,H2O-ERT,2,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.07792207792207792,0.11375661375661375,0.4431216931216931,0.0521817363922627,0.07163554129872364,0.5686735422211046,0.3653358579613269,0.5609405456812351
energy-y1,H2O-ERT,3,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.03896103896103896,0.056878306878306875,0.4715608465608465,0.02635135135135135,0.08762543861266278,0.5737190501081054,0.4397633955813944,0.9830247780138796
energy-y1,H2O-ERT,4,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.07792207792207792,0.14285714285714285,0.42857142857142855,0.047619047619047616,0.08405041510732568,0.6047544076941868,1.3696814910508692,3.742567342161746
energy-y1,H2O-ERT,5,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.025974025974025976,0.047619047619047616,0.4761904761904762,0.017543859649122806,0.03916118208801137,0.5575831307642243,0.4413408990949392,1.6435229872631558
energy-y1,H2O-ERT,6,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.05194805194805195,0.06613756613756612,0.4669312169312169,0.03477868112014453,0.06841466487227231,0.5301382525134155,0.3266485673375428,1.0903179101258904
energy-y1,H2O-ERT,7,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.025974025974025976,0.05128205128205129,0.4743589743589744,0.017543859649122806,0.08038404598415798,0.5816238570617447,1.041482340078801,1.2683809746976022
energy-y1,H2O-ERT,8,"{'max_depth': 4, 'histogram_type': 'Random', 'seed': 1}",0.02631578947368421,0.05128205128205129,0.4743589743589744,0.017543859649122806,0.05288740139930617,0.5923925262762921,1.2131614163517952,1.3131147287295837
energy-y1,H2O-ERT,9,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.05263157894736842,0.0698005698005698,0.4650997150997151,0.03518518518518519,0.04373891650677366,0.5264702807541196,1.0891845128498971,1.938407119412564
spambase,H2O-ERT,0,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.08459869848156182,0.1120465555949427,0.9251053605892317,0.08333333333333333,0.8638682106424042,0.8484048383961645,0.6554934661835432,0.7533120625771565
spambase,H2O-ERT,1,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.08695652173913042,0.13981342398608587,0.9040437979286898,0.10333333333333332,0.8409063957625108,0.8541094660528638,1.499471225310117,1.2297691180087302
spambase,H2O-ERT,2,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.11304347826086955,0.17058660763696734,0.8905051782749625,0.1103448275862069,0.8279211795398845,0.8026730165193228,0.3542099040932953,0.8620858283551491
spambase,H2O-ERT,3,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.0891304347826087,0.1293887007663518,0.9008495217727084,0.10596026490066224,0.8350165349808908,0.8489770571874391,1.2103276210837066,0.8589109871536493
spambase,H2O-ERT,4,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.10869565217391304,0.1570922196479138,0.9121962811144776,0.08664259927797834,0.8580664963662648,0.8043148378344308,0.7102118507027626,0.7836324375365742
spambase,H2O-ERT,5,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.05869565217391305,0.08727895601893107,0.929295629616428,0.07718120805369127,0.8813441850333671,0.9039793267538706,1.8876908849924805,1.3046480138259735
spambase,H2O-ERT,6,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.08695652173913042,0.15022079645141487,0.9193647398958396,0.08362369337979095,0.8551654488207687,0.8407011195661438,0.6456823889166117,0.9096904192119836
spambase,H2O-ERT,7,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.06956521739130435,0.09623952949563358,0.929295629616428,0.07849829351535836,0.8794629596625675,0.8803319387905708,1.7849977118894458,1.5335653058212737
spambase,H2O-ERT,8,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.10217391304347828,0.1373789579991683,0.8990574070773678,0.10810810810810813,0.8233925424265828,0.8206875516401283,0.6697939969599247,0.8707390156696023
spambase,H2O-ERT,9,"{'max_depth': 6, 'histogram_type': 'Random', 'seed': 1}",0.10652173913043478,0.14111170518228086,0.8818095407829858,0.11666666666666667,0.8055407037763125,0.8125593747515225,1.850657254923135,1.3381981958999585
mfeat-karhunen,H2O-ERT,0,"{'max_depth': 4, 'histogram_type': 'Random', 'seed': 1}",0.005,0.005,0.11388888888888887,0.0005617977528089887,0.40802777777777777,0.4509952936263933,2.6914118179120123,2.893207494635135
mfeat-karhunen,H2O-ERT,1,"{'max_depth': 7, 'histogram_type': 'Random', 'seed': 1}",0.0,0.0,0.13277777777777774,0.0,0.4019722222222223,0.4964693286704138,0.5813649338670075,3.6398596153594553
mfeat-karhunen,H2O-ERT,2,"{'max_depth': 5, 'histogram_type': 'Random', 'seed': 1}",0.01,0.01,0.13944444444444445,0.0010989010989010991,0.40802777777777777,0.4781616062153893,1.3094282648526132,3.3251867396757007
mfeat-karhunen,H2O-ERT,3,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.0,0.0,0.15444444444444444,0.0,0.39675,0.4660701095687389,3.594871711917221,2.9972650459967567
mfeat-karhunen,H2O-ERT,4,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.01,0.01,0.12944444444444445,0.0011049723756906076,0.4171388888888888,0.4818167971964181,0.5502052512019873,2.773651957977563
mfeat-karhunen,H2O-ERT,5,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.0,0.0,0.175,0.0,0.3998055555555556,0.4821207690835089,1.4636115897446869,3.42254925519228
mfeat-karhunen,H2O-ERT,6,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.0,0.0,0.14055555555555554,0.0,0.39852777777777776,0.4858006404043195,1.6661535990424454,3.610987605061382
mfeat-karhunen,H2O-ERT,7,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.0,0.0,0.12444444444444445,0.0,0.4,0.4860968286204051,3.5400630347430706,3.0514913657680154
mfeat-karhunen,H2O-ERT,8,"{'max_depth': 4, 'histogram_type': 'Random', 'seed': 1}",0.01,0.01,0.1577777777777778,0.0011111111111111113,0.41608333333333336,0.4752600460781236,2.9428938291966915,3.139080540277064
mfeat-karhunen,H2O-ERT,9,"{'max_depth': 3, 'histogram_type': 'Random', 'seed': 1}",0.015,0.015,0.1366666666666667,0.0016483516483516484,0.4181944444444444,0.4798929625718312,1.8501118151471017,3.066644126083702
lung-cancer,H2O-ERT,0,"{'seed': 1, 'ntrees': 50, 'max_depth': 7}",0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.5446978328044504,0.9666811069473624,9.99266804697422
lung-cancer,H2O-ERT,1,"{'seed': 1, 'ntrees': 50, 'max_depth': 4}",0.038461538461538464,0.041666666666666664,0.6666666666666666,0.017543859649122806,0.18958333333333333,0.5048921482928835,0.30652119126170874,3.3378164427211647
lung-cancer,H2O-ERT,2,"{'seed': 1, 'ntrees': 50, 'max_depth': 4}",0.0,0.0,0.6515151515151515,0.0,0.17777777777777778,0.5025061007771482,0.3336406024172902,13.831145380838564
lung-cancer,H2O-ERT,3,"{'seed': 1, 'ntrees': 10, 'max_depth': 4}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.4968809235986622,0.9667528625577688,3.742550714657857
