Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
energy-y1,H2O-DRF,0,"{'seed': 1, 'ntrees': 10, 'min_rows': 5}",0.09090909090909093,0.13756613756613756,0.4312169312169312,0.060278902384165535,0.07461036447099166,0.5954431627212231,0.3460352262482047,0.5487657285162381
energy-y1,H2O-DRF,1,"{'seed': 1, 'ntrees': 10, 'min_rows': 5}",0.06493506493506493,0.10449735449735448,0.4477513227513228,0.04295996401259559,0.07388526322904952,0.5877942655087934,0.3249471108429134,1.8472555153942731
energy-y1,H2O-DRF,2,"{'seed': 1, 'ntrees': 80, 'min_rows': 5}",0.025974025974025976,0.047619047619047616,0.4761904761904762,0.017543859649122806,0.08670194003527337,0.5924595414206987,0.3175186198204756,0.7711985305725754
energy-y1,H2O-DRF,3,"{'seed': 1, 'ntrees': 30, 'min_rows': 5}",0.025974025974025976,0.03306878306878307,0.4834656084656084,0.017389340560072266,0.027914016555131538,0.516018891993505,0.6466395310126245,1.2787452644922517
energy-y1,H2O-DRF,4,"{'seed': 1, 'ntrees': 70, 'min_rows': 5}",0.025974025974025976,0.047619047619047616,0.4761904761904762,0.017543859649122806,0.04016856245659963,0.5903963080760097,1.1383480229415,4.539201126808857
energy-y1,H2O-DRF,5,"{'seed': 1, 'ntrees': 20, 'min_rows': 15}",0.025974025974025976,0.047619047619047616,0.4761904761904762,0.017543859649122806,0.05857898715041573,0.5792045619993648,0.3663953677751124,1.4138167796583918
energy-y1,H2O-DRF,6,"{'seed': 1, 'ntrees': 40, 'min_rows': 5}",0.05194805194805195,0.09523809523809523,0.4523809523809524,0.03333333333333333,0.08630751126105367,0.615826034303245,0.5226417076773942,1.483947244267185
energy-y1,H2O-DRF,7,"{'seed': 1, 'ntrees': 90, 'min_rows': 15}",0.05194805194805195,0.0698005698005698,0.4650997150997151,0.03477868112014453,0.041223266794135384,0.534125751576445,0.4374484638683498,1.7732018907252067
energy-y1,H2O-DRF,8,"{'seed': 1, 'ntrees': 90, 'min_rows': 15}",0.03947368421052632,0.06054131054131055,0.4697293447293447,0.02656502656502656,0.08682608727251585,0.561046793273043,1.1104472419247031,2.0612172757912623
energy-y1,H2O-DRF,9,"{'seed': 1, 'ntrees': 50, 'min_rows': 15}",0.09210526315789473,0.1794871794871795,0.4102564102564103,0.05426356589147288,0.09395677074248504,0.6553375474484934,0.7553011737763882,1.7459310444169922
