Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
energy-y1,H2O-GBM,0,"{'ntrees': 20, 'max_depth': 4, 'seed': 1}",0.012987012987012988,0.023809523809523808,0.6190476190476191,0.009009009009009007,0.13663391282438905,0.5650441720159439,1.3433756050653756,3.775701192872865
energy-y1,H2O-GBM,1,"{'ntrees': 30, 'max_depth': 4, 'seed': 1}",0.012987012987012988,0.009259259259259259,0.6547619047619048,0.007936507936507936,0.14034075057303866,0.5204939214211046,2.0938256029039617,2.2558463894604857
energy-y1,H2O-GBM,2,"{'ntrees': 10, 'max_depth': 6, 'seed': 1}",0.012987012987012988,0.023809523809523808,0.5952380952380952,0.009009009009009007,0.1105265810027715,0.5346413507697879,1.6291618021205068,3.775750722300697
energy-y1,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 6, 'seed': 1}",0.012987012987012988,0.021604938271604937,0.6309523809523809,0.007936507936507936,0.14470960922761153,0.5523535657023649,0.7490333318710327,1.5912448273753963
energy-y1,H2O-GBM,4,"{'ntrees': 10, 'max_depth': 7, 'seed': 1}",0.0,0.0,0.6428571428571429,0.0,0.13314688838498362,0.5638675070293552,0.8466595471836627,1.3974702602566835
energy-y1,H2O-GBM,5,"{'ntrees': 20, 'max_depth': 5, 'seed': 1}",0.03896103896103896,0.05776014109347441,0.5714285714285713,0.02635135135135135,0.1206472417331883,0.5118420707498932,0.3630386833101511,1.180168077978608
energy-y1,H2O-GBM,6,"{'ntrees': 30, 'max_depth': 4, 'seed': 1}",0.025974025974025976,0.0599647266313933,0.5714285714285715,0.017543859649122806,0.1298595824960517,0.5438285704113095,0.6642528823576868,1.400740956282848
energy-y1,H2O-GBM,7,"{'ntrees': 20, 'max_depth': 4, 'seed': 1}",0.05194805194805195,0.0698005698005698,0.5769230769230769,0.03477868112014453,0.13995511245386805,0.5379957553397086,0.5497280433773994,1.6202076773655103
energy-y1,H2O-GBM,8,"{'ntrees': 20, 'max_depth': 4, 'seed': 1}",0.013157894736842105,0.0462962962962963,0.6666666666666666,0.008130081300813009,0.1626181027966742,0.5519733504875645,1.174705469980836,5.036307633609363
energy-y1,H2O-GBM,9,"{'ntrees': 20, 'max_depth': 4, 'seed': 1}",0.013157894736842105,0.025641025641025644,0.6153846153846154,0.009009009009009007,0.14285714285714288,0.5552354021395478,1.2789090983569622,1.7172748982710273
mfeat-karhunen,H2O-GBM,0,"{'ntrees': 10, 'max_depth': 4, 'seed': 1}",0.01,0.01,0.1955555555555556,0.0011111111111111113,0.4104166666666667,0.4948456000452105,2.0189806139096618,2.7155830338597298
