Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
wine,catboost,0,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",0.9444444444444444,0.9523809523809524,0.023809523809523808,0.9444444444444444,1.0,1.0,0.5930944262072444,0.6625591001162926
wine,catboost,1,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",0.9444444444444444,0.9523809523809524,0.023809523809523808,0.9444444444444444,1.0,1.0,0.2198102502152324,0.6199746599627866
wine,catboost,2,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,1.0,0.0,1.0,1.0,1.0,0.32294776383787394,0.9018888231366872
wine,catboost,3,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,0.9523809523809524,0.0,1.0,1.0,1.0,0.4248709422536194,0.6351604954236083
wine,catboost,4,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.4608045209542849}",0.9444444444444444,0.9523809523809524,0.0,0.9523809523809524,1.0,1.0,1.3137941076420248,0.651657400238845
wine,catboost,5,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",0.9444444444444444,0.9523809523809524,0.023809523809523808,0.9444444444444444,0.9956709956709956,0.9970238095238094,0.4455004967749119,0.6890726120521625
wine,catboost,6,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,0.9523809523809524,0.0,1.0,1.0,1.0,0.3932953551411629,0.8580027044647269
wine,catboost,7,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,0.9523809523809524,0.0,1.0,1.0,1.0,0.7462842096574605,0.4369703431924184
wine,catboost,8,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,1.0,0.0,1.0,1.0,1.0,0.4568795808590949,0.7305382203091594
wine,catboost,9,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",0.9411764705882352,0.9333333333333332,0.03333333333333333,0.9629629629629628,1.0,1.0,0.2096751928329468,0.64647792126326
congressional-voting,catboost,0,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.28303367400907586}",0.5681818181818182,0.4847494553376906,0.5152505446623094,0.3333333333333333,0.3932461873638344,0.3632592889483128,0.4239524188451469,0.1917543440041217
congressional-voting,catboost,1,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.01645968746254838}",0.6590909090909091,0.5697167755991285,0.4302832244008714,0.75,0.3758169934640523,0.3182991778999305,0.369071314111352,0.2652717944742604
congressional-voting,catboost,2,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.49098258468167644}",0.5909090909090909,0.4923747276688453,0.5076252723311547,0.3333333333333333,0.3376906318082789,0.3494779730073848,0.6914539420977235,0.1803854988379912
congressional-voting,catboost,3,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.2734383372283564}",0.7045454545454546,0.6285403050108932,0.3714596949891068,0.8333333333333334,0.4291938997821351,0.35735372005222715,0.5864769900217652,0.25346640243449
congressional-voting,catboost,4,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.32360490077127213}",0.6363636363636364,0.5294117647058824,0.4705882352941176,1.0,0.3801742919389978,0.3441817888412316,0.230286895763129,0.25870683814652945
congressional-voting,catboost,5,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.1498386603302596}",0.5813953488372093,0.5113122171945701,0.4886877828054298,0.42857142857142855,0.4061085972850678,0.3787495126612414,1.0010348930954929,0.3191677441950454
congressional-voting,catboost,6,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.23725108213084703}",0.5813953488372093,0.4807692307692308,0.5192307692307693,0.0,0.4547511312217194,0.4058891849422696,0.2702328651212156,0.28735132844642153
congressional-voting,catboost,7,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.05588125782310108}",0.5581395348837209,0.4819004524886878,0.5180995475113122,0.3333333333333333,0.3981900452488688,0.3495050115440021,0.4050312726758421,0.2989689061461493
congressional-voting,catboost,8,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.04174192247691261}",0.5813953488372093,0.4884259259259259,0.5115740740740741,0.3333333333333333,0.3425925925925926,0.33362287744555186,0.19615469872951508,0.2737695589488329
congressional-voting,catboost,9,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.3284282516420271}",0.627906976744186,0.5,0.5,0.0,0.3506944444444445,0.3440417988019732,0.2585667418316007,0.25908094505931056
diggle_table_a2,catboost,0,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.38992854562566237}",1.0,1.0,0.0,1.0,0.2875,0.3951823050265765,0.39196271216496825,0.4477442482546453
diggle_table_a2,catboost,1,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.41827316450488433}",1.0,1.0,0.0,1.0,0.5,0.4643345297554222,0.7098360913805664,0.38314854065256737
diggle_table_a2,catboost,2,"{'verbose': False, 'n_estimators': 150, 'learning_rate': 0.14193860645619738}",1.0,1.0,0.0,1.0,0.21666666666666667,0.3656979568524152,1.0600995877757668,0.3490437483114581
diggle_table_a2,catboost,3,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.07416357444821009}",1.0,1.0,0.0,1.0,0.09166666666666667,0.325080948756826,0.18309096293523908,0.3221435472369194
diggle_table_a2,catboost,4,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.3925938187773468}",0.967741935483871,0.9666666666666668,0.03333333333333333,1.0,0.44166666666666665,0.4338486478458428,0.4363067280501127,0.3366543190373528
diggle_table_a2,catboost,5,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.25795934559464523}",1.0,1.0,0.0,1.0,0.3907563025210084,0.3982454309745641,0.6614383342675865,0.3666728734970093
diggle_table_a2,catboost,6,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.14905947228538408}",1.0,1.0,0.0,1.0,0.22689075630252106,0.3368242137631521,0.1779130157083273,0.4547012579296866
diggle_table_a2,catboost,7,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.3113255014692533}",1.0,1.0,0.0,1.0,0.4789915966386554,0.4299113475101366,0.64059435762465,0.2619903985290758
diggle_table_a2,catboost,8,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.2854409504089115}",1.0,1.0,0.0,1.0,0.39495798319327735,0.38903263566414215,0.8022626237943769,0.3773378388535592
diggle_table_a2,catboost,9,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.35330450786446926}",1.0,1.0,0.0,1.0,0.5210084033613446,0.5353520373666708,0.4973336830735207,0.3371596817047365
monks-3,catboost,0,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.32360490077127213}",1.0,1.0,0.0,1.0,0.6347381864623244,0.7173888359435325,0.8366101970896125,0.20789790765515395
monks-3,catboost,1,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.010726838038567952}",1.0,1.0,0.0,1.0,0.78544061302682,0.6947842791859498,0.5878095580264926,0.19440429085599525
monks-3,catboost,2,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.07952120679451485}",0.9464285714285714,0.9457215836526182,0.05427841634738186,0.9333333333333332,0.6245210727969348,0.5966741396922776,0.8034975929185748,0.2097445124361132
monks-3,catboost,3,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.03857367557987609}",0.9642857142857144,0.9655172413793104,0.03448275862068965,1.0,0.6628352490421456,0.6887302702695197,0.7591640381142497,0.16878349872838175
monks-3,catboost,4,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.2742616422577435}",0.9636363636363636,0.963527851458886,0.03647214854111406,0.9655172413793104,0.5530503978779839,0.5281662615511298,0.7448218367062509,0.1997583630410108
monks-3,catboost,5,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.05933087643501922}",0.9454545454545454,0.9482758620689656,0.05172413793103448,1.0,0.5305039787798408,0.5245709434488423,0.4676166498102248,0.2423129806464369
monks-3,catboost,6,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.08723612751149867}",1.0,1.0,0.0,1.0,0.5862068965517242,0.6312447766413278,0.6083084200508893,0.20645408975807106
monks-3,catboost,7,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.01125305875196933}",0.9636363636363636,0.9655172413793104,0.03448275862068965,1.0,0.5928381962864722,0.6731921562566271,0.3326881602406502,0.2261926674030044
monks-3,catboost,8,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.3781052641626924}",0.9818181818181818,0.9814814814814814,0.018518518518518517,0.9655172413793104,0.5317460317460317,0.5317670412982977,0.6556064453907311,0.22040825675834308
monks-3,catboost,9,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.2734383372283564}",0.9636363636363636,0.9636243386243386,0.036375661375661374,0.9642857142857144,0.6005291005291005,0.6468222621857929,0.4934528502635658,0.16235075891017914
fri_c0_250_5,catboost,0,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.31687984073952546}",0.76,0.7564102564102564,0.2435897435897436,0.7333333333333333,0.5128205128205128,0.5120409896519892,0.5013228389434516,0.5702589638531208
fri_c0_250_5,catboost,1,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.37852194524687666}",0.8,0.8012820512820513,0.1987179487179488,0.8333333333333334,0.2948717948717948,0.4198708309981698,0.1644481630064547,0.3007798455655575
fri_c0_250_5,catboost,2,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.11059701115248945}",0.8,0.8012820512820513,0.1987179487179488,0.8333333333333334,0.2820512820512821,0.41149511420616347,0.5745203401893377,0.4315821267664433
fri_c0_250_5,catboost,3,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.13586373543344954}",0.96,0.9583333333333331,0.041666666666666664,0.9285714285714286,0.41025641025641024,0.4729885279304396,0.46823144098743796,0.5448043160140514
fri_c0_250_5,catboost,4,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.3107617558327329}",0.84,0.8365384615384616,0.16346153846153846,0.8,0.3012820512820513,0.4186847390919789,0.24272118508815765,0.4762359522283077
fri_c0_250_5,catboost,5,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.37420380963919847}",0.84,0.8429487179487181,0.15705128205128205,0.7857142857142857,0.3525641025641025,0.4021662408369065,0.3115641511976719,0.4578401334583759
fri_c0_250_5,catboost,6,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.4917077277186553}",0.72,0.7275641025641025,0.2724358974358975,0.6470588235294118,0.7115384615384617,0.6839724627224627,0.27800963912159204,0.4268518462777138
fri_c0_250_5,catboost,7,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.43478381612065137}",0.8,0.7948717948717949,0.20512820512820512,0.8888888888888888,0.2756410256410257,0.3906699806041911,0.6213324721902609,0.4364017210900784
fri_c0_250_5,catboost,8,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.49669132209026945}",0.92,0.9230769230769232,0.07692307692307693,0.8571428571428571,0.21794871794871792,0.3593759118711164,0.27357447892427444,0.3980160504579544
fri_c0_250_5,catboost,9,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.49785040371943773}",0.88,0.8814102564102564,0.11858974358974354,0.8461538461538461,0.3269230769230769,0.4006252398851504,0.2325368192978204,0.6025212444365025
credit-approval,catboost,0,"{'verbose': False, 'n_estimators': 75, 'learning_rate': 0.0344756678142239}",0.8840579710144928,0.8858234295415959,0.11417657045840407,0.9166666666666666,0.4940577249575552,0.5682299803087545,1.0875623500905929,0.19358717364029607
