Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
wine,fastbdt,0,"{'depth': 5, 'nTrees': 225}",0.0,0.0,0.10714285714285714,0.0,0.012987012987012984,0.35109333787905217,0.2196482764557004,0.04196353256702423
wine,fastbdt,1,"{'depth': 5, 'nTrees': 225}",0.0,0.0,0.09047619047619049,0.0,0.009457209457209455,0.34993120635977776,0.2285290528088808,0.06163135791818301
wine,fastbdt,2,"{'depth': 8, 'nTrees': 150}",0.0,0.0,0.0,0.0,0.0,0.3485423174708889,0.22910222504287958,0.06275204941630363
wine,fastbdt,3,"{'depth': 7, 'nTrees': 200}",0.0,0.0,0.09444444444444444,0.0,0.0,0.3485423174708889,0.6529133319854736,0.07263586545983951
wine,fastbdt,4,"{'depth': 5, 'nTrees': 225}",0.0,0.0,0.1420634920634921,0.0,0.004329004329004331,0.3491092108949252,1.294553192332387,0.11675070143408245
wine,fastbdt,5,"{'depth': 5, 'nTrees': 100}",0.0,0.0,0.09047619047619049,0.0,0.009259259259259264,0.3498099541551922,0.5663667842745781,0.09916288157304128
wine,fastbdt,6,"{'depth': 7, 'nTrees': 75}",0.0,0.0,0.17539682539682536,0.0,0.0,0.3485423174708889,0.22785713151097298,0.06914402668674786
wine,fastbdt,7,"{'depth': 8, 'nTrees': 225}",0.0,0.0,0.5349206349206349,0.0,0.0,0.37820208671399147,1.7891942877322435,0.1392128049499459
wine,fastbdt,8,"{'depth': 5, 'nTrees': 200}",0.0,0.0,0.06547619047619048,0.0,0.0,0.35405877742187264,0.2278046840801835,0.09790857267730375
wine,fastbdt,9,"{'depth': 8, 'nTrees': 225}",0.0,0.0,0.7333333333333334,0.0,0.0,0.39003319597069597,3.035417824983597,0.16770917264854207
congressional-voting,fastbdt,0,"{'depth': 8, 'nTrees': 200}",0.4090909090909091,0.4749455337690631,0.5250544662309368,0.37142857142857144,0.37363834422657954,0.35998217468805704,1.3730529779568315,0.021402470090172508
congressional-voting,fastbdt,1,"{'depth': 8, 'nTrees': 100}",0.36363636363636365,0.45969498910675377,0.5403050108932461,0.36585365853658536,0.38126361655773416,0.39202953908836263,0.11510353814810514,0.019207046451893722
congressional-voting,fastbdt,2,"{'depth': 8, 'nTrees': 200}",0.38636363636363635,0.48910675381263613,0.5108932461873638,0.38095238095238093,0.3616557734204794,0.33396180547544513,0.12764632795006037,0.018460993570360268
congressional-voting,fastbdt,3,"{'depth': 8, 'nTrees': 200}",0.36363636363636365,0.45969498910675377,0.5403050108932461,0.36585365853658536,0.35185185185185186,0.32853362627644433,0.13754829950630665,0.01637603748928417
congressional-voting,fastbdt,4,"{'depth': 5, 'nTrees': 150}",0.5,0.47276688453159044,0.5272331154684096,0.35294117647058826,0.4509803921568628,0.38225010283833816,0.11246229149401188,0.01937087455933744
congressional-voting,fastbdt,5,"{'depth': 8, 'nTrees': 150}",0.3953488372093023,0.48981900452488686,0.5101809954751131,0.3902439024390244,0.23529411764705882,0.32339522593813597,0.06378121301531792,0.016806084056233253
