Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
post-operative,Pystacknet,0,"{'RandomForestClassifier_est_1': 200, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.6666666666666666,0.42857142857142855,0.5714285714285714,0.0,0.3571428571428572,0.25,1.6172315748408437,52.57941058112515
post-operative,Pystacknet,1,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.6666666666666666,0.42857142857142855,0.5714285714285714,0.0,0.5,0.30952380952380953,3.386700015515089,37.246920789281525
post-operative,Pystacknet,2,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 300, 'verbose': 0}",0.7777777777777778,0.5,0.5,0.0,0.7142857142857143,0.41666666666666663,2.0392060428857803,53.34793641749355
post-operative,Pystacknet,3,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.7777777777777778,0.5,0.5,0.0,0.2142857142857143,0.20833333333333331,3.3930580681189895,74.1382668622666
post-operative,Pystacknet,4,"{'RandomForestClassifier_est_1': 400, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.6666666666666666,0.5,0.5,0.0,0.5555555555555556,0.5916666666666666,3.9367784280329943,38.509140929414166
post-operative,Pystacknet,5,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.6666666666666666,0.5,0.5,0.0,0.5555555555555556,0.5916666666666666,3.4635677644982934,65.98589765942758
post-operative,Pystacknet,6,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.6666666666666666,0.5,0.5,0.0,0.5,0.4444444444444444,3.0901855947449803,59.36132464557886
post-operative,Pystacknet,7,"{'RandomForestClassifier_est_1': 150, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.6666666666666666,0.5,0.5,0.0,0.33333333333333337,0.3333333333333333,2.6122005358338356,107.25716222077608
post-operative,Pystacknet,8,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.625,0.4166666666666667,0.5833333333333334,0.0,0.25,0.25,2.3971557887271047,29.02917517349124
post-operative,Pystacknet,9,"{'RandomForestClassifier_est_1': 200, 'ExtraTreesClassifier_est': 150, 'verbose': 0}",0.625,0.4166666666666667,0.5833333333333334,0.0,0.8333333333333334,0.75,1.3398607913404703,31.729851383715868
energy-y1,Pystacknet,0,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.974025974025974,0.9523809523809524,0.023809523809523808,0.9824561403508771,0.9951698836716258,0.9935450586465379,5.419150882400572,5.026202431166327
energy-y1,Pystacknet,1,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.9090909090909091,0.8822751322751322,0.05886243386243386,0.8847953216374269,0.9796839530753584,0.9599609192596077,6.188110703602433,5.425925947145209
energy-y1,Pystacknet,2,"{'RandomForestClassifier_est_1': 350, 'ExtraTreesClassifier_est': 300, 'verbose': 0}",0.961038961038961,0.9285714285714285,0.03571428571428571,0.9666666666666667,0.984726631393298,0.9785690916718263,4.020658015273511,9.31661884457647
