iter	Passed	Remaining
0	152	30383
1	312	30973
2	466	30644
3	619	30345
4	772	30121
5	929	30039
6	1083	29861
7	1235	29642
8	1401	29751
9	1558	29611
10	1714	29459
11	1874	29364
12	2033	29249
13	2191	29117
14	2349	28972
15	2504	28802
16	2689	28953
17	2846	28785
18	3002	28607
19	3159	28432
20	3318	28286
21	3490	28240
22	3665	28211
23	3834	28121
24	4014	28104
25	4181	27985
26	4350	27877
27	4517	27753
28	4696	27694
29	4867	27582
30	5033	27438
31	5204	27321
32	5369	27171
33	5540	27051
34	5704	26890
35	5872	26753
36	6047	26643
37	6217	26505
38	6384	26355
39	6551	26204
40	6724	26079
41	6889	25918
42	7056	25765
43	7258	25733
44	7454	25675
45	7624	25525
46	7803	25401
47	7975	25254
48	8143	25094
49	8318	24955
50	8485	24792
51	8651	24623
52	8840	24519
53	9008	24355
54	9175	24190
55	9345	24031
56	9513	23866
57	9678	23695
58	9856	23555
59	10029	23401
60	10199	23241
61	10367	23075
62	10533	22907
63	10701	22741
64	10874	22585
65	11055	22446
66	11222	22278
67	11378	22087
68	11533	21896
69	11716	21758
70	11898	21619
71	12071	21460
72	12228	21273
73	12404	21120
74	12567	20946
75	12729	20769
76	12891	20592
77	13050	20411
78	13205	20225
79	13365	20047
80	13518	19860
81	13675	19679
82	13829	19494
83	13985	19313
84	14140	19130
85	14292	18946
86	14445	18762
87	14598	18580
88	14753	18400
89	14908	18220
90	15060	18039
91	15213	17859
92	15367	17681
93	15523	17504
94	15673	17323
95	15824	17143
96	15978	16966
97	16132	16790
98	16283	16612
99	16440	16440
100	16599	16270
101	16752	16095
102	16908	15923
103	17067	15754
104	17220	15580
105	17377	15409
106	17532	15238
107	17688	15068
108	17848	14900
109	18004	14731
110	18165	14565
111	18330	14402
112	18485	14232
113	18647	14067
114	18818	13909
115	19014	13769
116	19197	13618
117	19360	13453
118	19516	13284
119	19670	13113
120	19830	12947
121	19991	12781
122	20151	12615
123	20307	12446
124	20461	12277
125	20615	12107
126	20770	11938
127	20936	11776
128	21092	11608
129	21265	11450
130	21421	11283
131	21581	11117
132	21742	10953
